"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Residue: Non-filterable (TSS) (fl. conc.)","Physical Properties; EMS code: 0008",NA,"Concentration","mg/L",TRUE,"0008","PHYSICAL","NUMERIC","1070","Grav: 9 cm Buchner: 105C","Grav; 9 cm Buchner, 105C","EMS Migration"
"Residue: Non-filterable (TSS) (fl. conc.)","Physical Properties; EMS code: 0008",NA,"Concentration","mg/L",TRUE,"0008","PHYSICAL","NUMERIC","1071","Grav: Subsamp Buch 105C","Grav; Subsamp Buch 105C","EMS Migration"
"Sulfide Total (fl. conc.)","Inorganics; EMS code: 0125","18496-25-8","Concentration","mg/L",TRUE,"0125","CHEMICAL","NUMERIC","1075","Colorimetric:Methyl.Blue","Colorimetric: Methyl.Blue","EMS Migration"
"Hydrogen Sulfide (fl. conc.)","Volatile Organic Compounds (VOCs); EMS code: H2S-","7783-06-04","Concentration","mg/L",TRUE,"H2S-","CHEMICAL","NUMERIC","1075","Colorimetric:Methyl.Blue","Colorimetric: Methyl.Blue","EMS Migration"
"Biochemical Oxygen Demand (fl. conc.)","Aggregate Organics; EMS code: 0115",NA,"Concentration","mg/L",TRUE,"0115","CHEMICAL","NUMERIC","1100","Uns. Dil. Nit. Inh.5 Day","Uns. Dil. Nit. Inh.5 Day","EMS Migration"
"Total PeCDF # Homologues (unitless)","Dioxins & Furans; EMS code: B128","30402-15-4","None","None",FALSE,"B128","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;4;7;8-HxCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B062; B063; B064","39227-28-6","MassPerMass","pg/g",TRUE,"B064","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-TCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B149; B150; B151","41903-57-5","MassPerMass","pg/g",TRUE,"B151","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;4;7;8;9-HpCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B059; B060; B061","55673-89-7","MassPerMass","pg/g",TRUE,"B061","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;7;8-PeCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B083; B084; B085","57117-41-6","MassPerMass","pg/g",TRUE,"B085","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;6;7;8-HxCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B071; B072; B073","57117-44-9","MassPerMass","pg/g",TRUE,"B073","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-HpCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B131; B132; B133","37871-00-4","MassPerMass","pg/g",TRUE,"B133","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;4;7;8-HxCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B065; B066; B067","70648-26-9","MassPerMass","pg/g",TRUE,"B067","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"OCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B117; B118; B119","3268-87-9","MassPerMass","pg/g",TRUE,"B119","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"2;3;4;7;8-PeCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B105; B106; B107","57117-31-4","MassPerMass","pg/g",TRUE,"B107","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;7;8;9-HxCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B074; B075; B076","19408-74-3","MassPerMass","pg/g",TRUE,"B076","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Mid Point PCDD/F TEQ (WHO 2005) (wet) (mass conc.)","EMS code: B116",NA,"MassPerMass","pg/g",TRUE,"B116","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"2;3;4;6;7;8-HxCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B102; B103; B104","60851-34-5","MassPerMass","pg/g",TRUE,"B104","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-PeCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B143; B144; B145","36088-22-9","MassPerMass","pg/g",TRUE,"B145","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;7;8-PeCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B080; B081; B082","40321-76-4","MassPerMass","pg/g",TRUE,"B082","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-HxCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B137; B138; B139","34465-46-8","MassPerMass","pg/g",TRUE,"B139","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-TCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B152; B153; B154","55722-27-5","MassPerMass","pg/g",TRUE,"B154","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-HxCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B140; B141; B142","55684-94-1","MassPerMass","pg/g",TRUE,"B142","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total HpCDD # Homologues (unitless)","Dioxins & Furans; EMS code: B123","37871-00-4","None","None",FALSE,"B123","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Lower Bound PCDD/F TEQ (WHO 2005) (wet) (mass conc.)","EMS code: B115",NA,"MassPerMass","pg/g",TRUE,"B115","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;4;6;7;8-HpCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B056; B057; B058","67562-39-4","MassPerMass","pg/g",TRUE,"B058","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total PeCDD # Homologues (unitless)","Dioxins & Furans; EMS code: B127","36088-22-9","None","None",FALSE,"B127","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total TCDF # Homologues (unitless)","Dioxins & Furans; EMS code: B130","55722-27-5","None","None",FALSE,"B130","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Upper Bound PCDD/F TEQ (WHO 2005) (wet) (mass conc.)","EMS code: B155",NA,"MassPerMass","pg/g",TRUE,"B155","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"2;3;7;8-TCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B108; B109; B110","1746-01-6","MassPerMass","pg/g",TRUE,"B110","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-HpCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B134; B135; B136","38998-75-3","MassPerMass","pg/g",TRUE,"B136","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total HpCDF # Homologues (unitless)","Dioxins & Furans; EMS code: B124","38998-75-3","None","None",FALSE,"B124","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"2;3;7;8-TCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B111; B112; B113","51207-31-9","MassPerMass","pg/g",TRUE,"B113","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"OCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B120; B121; B122","39001-02-0","MassPerMass","pg/g",TRUE,"B122","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;6;7;8-HxCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B068; B069; B070","57653-85-7","MassPerMass","pg/g",TRUE,"B070","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total HxCDF # Homologues (unitless)","Dioxins & Furans; EMS code: B126","55684-94-1","None","None",FALSE,"B126","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total TCDD # Homologues (unitless)","Dioxins & Furans; EMS code: B129","41903-57-5","None","None",FALSE,"B129","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total-PeCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B146; B147; B148","30402-15-4","MassPerMass","pg/g",TRUE,"B148","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Total HxCDD # Homologues (unitless)","Dioxins & Furans; EMS code: B125","34465-46-8","None","None",FALSE,"B125","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;7;8;9-HxCDF (wet) (mass conc.)","Dioxins & Furans; EMS code: B077; B078; B079","72918-21-9","MassPerMass","pg/g",TRUE,"B079","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"1;2;3;4;6;7;8-HpCDD (wet) (mass conc.)","Dioxins & Furans; EMS code: B053; B054; B055","35822-46-9","MassPerMass","pg/g",TRUE,"B055","CHEMICAL","NUMERIC","1101","DX-1613B","DCM Extraction, Column clean-up, isotope dilution GC/HRMS. Method Reference: USEPA 1613B. Methodology: Samples are filtered if required. Solids are extracted by Soxhlet using toluene. The liquid portion is extracted by liquid/liquid extraction using dichloromethane. The extracts are prepared using column chromatography, reduced in volume and analyzed by isotope-dilution GC/HRMS.","EMS Migration"
"Biochemical Oxygen Demand (fl. conc.)","Aggregate Organics; EMS code: 0115",NA,"Concentration","mg/L",TRUE,"0115","CHEMICAL","NUMERIC","1110","Seeded Dil.Nit.Inh.5 Day","Seeded Dil.Nit.Inh.5 Day","EMS Migration"
"Fluoride Total (fl. conc.)","EMS code: 0106","16984-48-8","Concentration","mg/L",TRUE,"0106","CHEMICAL","NUMERIC","1120","Manual S I E","Manual S I E","EMS Migration"
"Salinity (salinity) (ratio)","Major Ions; EMS code: 0130",NA,"DimensionlessRatio","ppt",TRUE,"0130","CHEMICAL","NUMERIC","1130","Salinometer","The electrical conductance is measured using a conductivity bridge which has been calibrated with KCl solutions of known concentration.  Salinity is determined by reference to the Practical Salinity Scale, 1978.","EMS Migration"
"Turbidity (turb.)","Physical Properties; EMS code: 0015",NA,"Turbidity","NTU",FALSE,"0015","PHYSICAL","NUMERIC","1140","Nephel.Single Beam","Light is directed through a tube containing the sample, and the relative intensity of the scattered light, at 90 degrees to the light source, is measured by photocells.  An instrument designed to do this is called a nephelometer, which is calibrated with a standard formazin reference suspension.  The instrument readout is in terms of Nephelometric Turbidity Units (NTU), or the equivalent formazin turbidity units (FTU) or the equivalent Jackson Turbidity Units (JTU).","EMS Migration"
"Turbidity (turb.)","Physical Properties; EMS code: 0015",NA,"Turbidity","NTU",FALSE,"0015","PHYSICAL","NUMERIC","1150","Nephel.Double Beam","Nephel.Double Beam","EMS Migration"
"Acidity pH 4.5 (as CaCO3) (fl. conc.)","Major Ions; EMS code: 0132",NA,"Concentration","mg/L",TRUE,"0132","CHEMICAL","NUMERIC","1180","Manual Potentiometric Titration","The acidity (pH 4.5) is determined by manual potentiometric titration of a sample aliquot with a standard solution of alkali to pH 4.5.","EMS Migration"
"Alkalinity; Phenolphthalein (as CaCO3) (fl. conc.)","Major Ions; EMS code: 0101",NA,"Concentration","mg/L",TRUE,"0101","CHEMICAL","NUMERIC","1200","Manual Potentiometric Titration","Manual Potentiometric Titration with standard solution to specified pH.  The sample must not be filtered, diluted, concentrated, or altered in any way.","EMS Migration"
"Alkalinity Total 4.5 (as CaCO3) (fl. conc.)","Major Ions; EMS code: 0102",NA,"Concentration","mg/L",TRUE,"0102","CHEMICAL","NUMERIC","1200","Manual Potentiometric Titration","Manual Potentiometric Titration with standard solution to specified pH.  The sample must not be filtered, diluted, concentrated, or altered in any way.","EMS Migration"
"Alkalinity pH 4.5/4.2 (fl. conc.)","Major Ions; EMS code: D102",NA,"Concentration","mg/L",TRUE,"D102","CHEMICAL","NUMERIC","1212","Pot. Tit. SA pH 4.5/4.2","Alkalinity is determined by potentiometric titration with sulfuric acid which has been standardized with sodium carbonate.  The sample (if pH>8.3) is first titrated to a pH=8.3, which corresponds to the equivalence point for the conversion of carbonate to bicarbonate ion (phenolphthalein alkalinity).  The titration is continued to a pH of 4.5, which corresponds approximately to the equivalence point for the conversion of bicarbonate ion to carbonic acid (entire titration indicates total alkalinity).  An extrapolation technique based on the near proportionality of concentration of hydrogen ions to excess of titrant beyond the equivalence point.  The amount of standard acid required to reduce pH exactly 0.30 pH (i.e. pH 4.2) unit is measured carefully.  Because this change in pH corresponds to an exact coupling of the hydrogen ion concentration, a simple extrapolation can be made to the equivalence point.  The actual pH of the stoichiometric end point in alkalinity determinations is the pH at which the inflection in the titration curve occurs and is directly related to the amount of carbonate alkalinity orginally present in the sample.  A curve can be constructed by plotting pH versus mL of acid to find this point directly.  To obtain the actual substances contributing to alkalinity, such a curve should be constructed.","EMS Migration"
"Color True (app.)","Physical Properties; EMS code: 0002",NA,"Appearance","Col. Unit",FALSE,"0002","PHYSICAL","NUMERIC","1301","Filt:Colour Comparator","Filt; Colour Comparator","EMS Migration"
"pH of the Extraction Fluid used for EPA TCLP extraction (acidity)","Toxicity; EMS code: PHES",NA,"Acidity","pH units",TRUE,"PHES","CHEMICAL","NUMERIC","1311","EPA 1311/meter","This analysis is carried out in accordance with the extraction procedure outlined in ""Test Methods for Evaluating Solid Waste - Physical/Chemical Methods Volume 1C"" SW-846 EPA Method 1311, published by the United States Environmental Protection Agency (EPA).  Thisple is extracted at a 20: 1 liquid to solids ratio for 16 to 20 hours using either extraction fluid #1 (glacial acetic acid, water and sodium hydroxide) or extraction fluid #2 (glacial acetic acid), depending on the pH of the original sample.  The extract is then filtered through a 0.6 to 0.8 micron glass fibre filter and analysed using inductively coupled plasma - optical emission spectrophotometry (EPA Method 6010B)","EMS Migration"
"Leachable Lead after EPA TCLP extraction of solid sample (fl. conc.)","Metals - Extractable; EMS code: PB-L",NA,"Concentration","mg/L",TRUE,"PB-L","CHEMICAL","NUMERIC","1312","EPA 1311/6010B (ICPMS)","This analysis is carried out in accordance with the extraction procedure outlined in ""Test Methods for Evaluating Solid Waste - Physical/Chemical Methods Volume 1C"" SW-846 EPA Method 1311, published by the United States Environmental Protection Agency (EPA).  In summary, the sample is extracted at a 20: 1 liquid to solids ratio for 16 to 20 hours using either extraction fluid #1 (glacial acetic acid, water and sodium hydroxide) or extraction fluid #2 (glacial acetic acid), depending on the pH of the original sample.  The extract is then filtered through a 0.6 to 0.8 micron glass fibre filter and analysed using inductively coupled plasma - optical emission spectrophotometry (EPA Method 6010B)","EMS Migration"
"Leachable Arsenic after EPA TCLP extraction of solid sample (fl. conc.)","Metals - Extractable; EMS code: AS-L","7440-38-2","Concentration","mg/L",TRUE,"AS-L","CHEMICAL","NUMERIC","1312","EPA 1311/6010B (ICPMS)","This analysis is carried out in accordance with the extraction procedure outlined in ""Test Methods for Evaluating Solid Waste - Physical/Chemical Methods Volume 1C"" SW-846 EPA Method 1311, published by the United States Environmental Protection Agency (EPA).  In summary, the sample is extracted at a 20: 1 liquid to solids ratio for 16 to 20 hours using either extraction fluid #1 (glacial acetic acid, water and sodium hydroxide) or extraction fluid #2 (glacial acetic acid), depending on the pH of the original sample.  The extract is then filtered through a 0.6 to 0.8 micron glass fibre filter and analysed using inductively coupled plasma - optical emission spectrophotometry (EPA Method 6010B)","EMS Migration"
"Leachable Mercury after EPA TCLP extraction of solid sample (fl. conc.)","Metals - Extractable; EMS code: HG-L",NA,"Concentration","mg/L",TRUE,"HG-L","CHEMICAL","NUMERIC","1313","EPA 1311/245.7 (CAVF)","This analysis is carried out in accordance with the extraction procedure outlined in ""Test Methods for Evaluating Solid Waste - Physical/Chemical Methods Volume 1C"" SW-846 EPA Method 1311, published by the United States Environmental Protection Agency (EPA).  In summary, the sample is extracted at a 20: 1 liquid to solids ratio for 16 to 20 hours using either extraction fluid #1 (glacial acetic acid, water and sodium hydroxide) or extraction fluid #2 (glacial acetic acid), depending on the pH of the original sample.  The extract is then filtered through a 0.6 to 0.8 micron glass fibre filter and analysed using atomic fluorescence spectrophotometry (EPA 245.7).","EMS Migration"
"Color S./W. Diss. (app.)","Physical Properties; EMS code: 1052",NA,"Appearance","SWU",FALSE,"1052","PHYSICAL","NUMERIC","1320","Single wavelength:no pH adj","Colour is determined by spectrophotometric comparison of the sample, at a specific wavelength (400nm), with known concentrations of coloured solutions.  Any turbidity must be removed.  The pH of the sample must not be adjusted but should be determined and reported as well.","EMS Migration"
"Chloride Dissolved (fl. conc.)","Major Ions; EMS code: 1104","16887-00-6","Concentration","mg/L",TRUE,"1104","CHEMICAL","NUMERIC","1330","Auto. mercuric thiocyan.","Auto. mercuric thiocyan.","EMS Migration"
"pH (acidity)","Physical Properties; EMS code: 0004",NA,"Acidity","pH units",TRUE,"0004","PHYSICAL","NUMERIC","1331","pH by Meter (Automated) (seawater)","pH by Meter (Automated) (seawater)","EMS Migration"
"3;5-Dichlorophenol (mass conc.)","Organics; EMS code: D077","591-35-5","MassPerMass","mg/kg",TRUE,"D077","CHEMICAL","NUMERIC","1332","Phenolics by Tumbler/GC-MS","Phenolics by Tumbler/GC-MS","EMS Migration"
"4-Chloro-3-Methylphenol (mass conc.)","Organics; EMS code: C036","59-50-7","MassPerMass","mg/kg",TRUE,"C036","CHEMICAL","NUMERIC","1332","Phenolics by Tumbler/GC-MS","Phenolics by Tumbler/GC-MS","EMS Migration"
